repository,category,release_ref,status,validation,evidence,strict_dependencies
AI-Native-Analytics-Portfolio-Roadmap,control_plane,main,complete_for_portfolio_scope,"Static portfolio ledger, architecture and claim-boundary validation in CI","Central release ledger, architecture, recruiter paths and frozen-history policy",
supply-chain-operations-control-tower,foundational,1190a7e72230b16854c62c04dabec1b31ba52935,complete_for_portfolio_scope,"9 KPI/data checks, 2 tests and green release CI","ERP/WMS/TMS-style control tower, governed service and cost KPIs",
cloud-warehouse-analytics-lab,foundational,140b076edcb89c3b27c3786887ee17d21494a44d,complete_for_portfolio_scope,"9 database checks, 6 export checks, 3 tests and byte-identical exports","Executable DuckDB warehouse plus Snowflake, BigQuery and lakehouse patterns",
dbt-analytics-engineering-lab,foundational,263134172e4ec3f422b47c25d01a86555ea29df9,complete_for_portfolio_scope,101 successful dbt results with no warnings or failures,"Layered dbt project, snapshot, exposures, governed tests and evidence export",
orchestration-data-pipelines-lab,foundational,bd9e67fe6ffa17695bd021ad49123d3b442f5bcf,complete_for_portfolio_scope,"11 source/output checks, 4 tests and deterministic failure/recovery scenarios","Validation-first orchestration, retries, atomic publication, lineage and framework mappings",
tableau-bi-dashboard-lab,foundational,021e9a028d8868e7631cbc96e5d87318a5d9ad4f,complete_for_portfolio_scope,"11 quality checks, 26 metric reconciliations and 6 tests","Governed BI extracts, Tableau calculations, Looker/Sigma/Power BI specifications",
revenue-growth-analytics-engineering,foundational,051d9bcdec25a501d57c600f373e69b70ee09276,complete_for_portfolio_scope,"12 database checks, 38 governance reconciliations and 8 tests","Funnels, cohorts, subscription movements, LTV, CAC/ROAS and customer segmentation",
semantic-layer-ai-agent-lab,ai_native,23297a682a17bc9e89a31f37bf9f67defbeadc98,complete_for_portfolio_scope,"28 tests, 20 evaluation cases and live drift validation of 3 upstream SQL contracts","Governed semantic catalog, read-only SQL, independent reconciliation, lineage and refusals",dbt-analytics-engineering-lab;cloud-warehouse-analytics-lab
mlops-llmops-evaluation-lab,ai_native,d82d09d06e647a8cdaa1ade8b2639d3f9508f351,complete_for_portfolio_scope,Core Python 3.11/3.12 gates plus 20 Semantic Agent and 18 Decision Twin normalized checks,"Model evaluation, drift, fairness, regressions and shared fail-closed agent release gate",semantic-layer-ai-agent-lab;supply-chain-decision-twin-agent;dbt-analytics-engineering-lab;cloud-warehouse-analytics-lab
supply-chain-decision-twin-agent,ai_native,28fd0986ccadec740dd9ab9e67cbd955885f0d64,complete_for_portfolio_scope,"31 end-to-end checks, 14 tests and preserved Dify API compatibility","Dify/RAG/FastAPI demo plus forecast, scenario simulation, action ranking and human approval",
causal-experimentation-lab,ai_native,dc8069c9ce317bb0352d7808272ed35dcbe4c910,complete_for_portfolio_scope,Full scientific reproduction plus 24/24 fail-closed causal release checks,"Randomized experiment, ANCOVA HC1, permutation inference, robustness and governed review envelope",
cloud-executable-analytics-lab,ai_native,0db06f9942686fddf99a274ea118f0a330161416,complete_for_portfolio_scope,"9 reconciliations, 13 tests, reproducible evidence and Docker read-only-root execution",Containerized deterministic analytics pipeline with atomic evidence publication and Fargate target design,
